
#S 1
#N 10
#L photon energy [eV]  alpha [deg]  beta [deg]  size source V [um]  size [um]  source*M  footprint on grating [m]  C  resolving power 0.1  resolving power 0.5
250.000000   87.489830   86.042005   62.671855   11.684360   11.949706   0.043647   1.576034   7331.581298   13388.104979
368.421053   87.933085   86.740297   55.216354   10.329466   10.524529   0.043850   1.576577   6832.018220   12475.859359
486.842105   88.202333   87.164645   50.965779   9.577217   9.712628   0.044048   1.576856   6410.889658   11706.841985
605.263158   88.387961   87.457273   48.195279   8.670290   9.183660   0.044241   1.577026   6075.665377   11598.997539
723.684211   88.525870   87.674709   46.238182   8.322848   8.810095   0.044434   1.577140   5789.210642   11052.129407
842.105263   88.633530   87.844469   44.778715   8.063430   8.531568   0.044624   1.577222   5540.206364   10576.757605
960.526316   88.720594   87.981763   43.646894   7.862002   8.315599   0.044814   1.577284   5321.214183   10158.681622
1078.947368   88.792889   88.095775   42.742701   7.700941   8.143083   0.045003   1.577333   5126.606587   9787.158030
1197.368421   88.854169   88.192420   42.003293   7.569157   8.002019   0.045191   1.577371   4952.126155   9454.059024
1315.789474   88.906973   88.275700   41.387122   7.459290   7.884474   0.045378   1.577403   4794.523746   9153.181697
1434.210526   88.953091   88.348438   40.865588   7.366269   7.784988   0.045565   1.577430   4651.241915   8879.643656
1552.631579   88.993824   88.412685   40.418343   7.286484   7.699677   0.045750   1.577452   4520.231970   8629.533761
1671.052632   89.030145   88.469973   40.030503   7.217287   7.625700   0.045935   1.577471   4399.843787   8399.701775
1789.473684   89.062797   88.521476   39.690923   7.156701   7.560931   0.046120   1.577488   4288.713174   8187.543331
1907.894737   89.092359   88.568104   39.391094   7.103207   7.503745   0.046303   1.577503   4185.717779   7990.915759
2026.315789   89.119289   88.610582   39.124399   7.055629   7.452880   0.046486   1.577516   4089.915047   7808.019635
2144.736842   89.143955   88.649491   38.885618   7.013036   7.407340   0.046669   1.577527   4000.508878   7637.335131
2263.157895   89.166659   88.685305   38.670574   6.974683   7.366328   0.046850   1.577538   3916.821473   7477.568267
2381.578947   89.187648   88.718412   38.475888   6.939968   7.329200   0.047031   1.577547   3838.271708   7327.609624
2500.000000   89.207126   88.749138   38.298792   6.908397   7.295426   0.047212   1.577555   3764.358016   7186.501667
