; radius uncorrected250 corrected250 uncorrected1250 corrected1250 
10  0.000391469  0.0702844  0.000386159 0.0945517 
11.2332  0.000436868  0.150032  0.000443403 0.141107 
12.6186  0.000489765  0.0798865  0.000489652 0.100403 
14.1747  0.000550433  0.633345  0.000546699 0.649313 
15.9228  0.000624156  0.44743  0.000615535 0.642083 
17.8865  0.000699979  0.298883  0.000705426 0.769152 
20.0923  0.000783949  0.279167  0.000778048 0.747356 
22.5702  0.000878383  0.235588  0.000875406 1.2556 
25.3536  0.00098607  0.012209  0.00099801 0.15686 
28.4804  0.00111289  0.322902  0.00112176 0.224012 
31.9927  0.00124862  0.222488  0.00123918 0.333007 
35.9381  0.00140021  0.0107401  0.00139149 0.921669 
40.3702  0.00157431  0.433885  0.00157763 1.66685 
45.3488  0.00176831  0.278814  0.00177291 0.554374 
50.9414  0.00198606  0.164253  0.00198143 0.70459 
57.2237  0.00223077  0.25053  0.00224099 0.739166 
64.2807  0.00250578  0.553917  0.00251442 0.810988 
72.2081  0.00281468  0.160969  0.00281361 1.00288 
81.1131  0.00316164  0.157721  0.00316666 0.9804 
91.1163  0.00355135  0.414172  0.00355499 1.19577 
102.353  0.00398907  0.360069  0.003992 1.39926 
114.976  0.0044807  0.411037  0.00448434 1.52699 
129.155  0.00503287  0.451437  0.00503688 1.6476 
145.083  0.00565304  0.507775  0.00565753 1.74482 
162.975  0.00634955  0.573045  0.00635459 1.80337 
183.074  0.00713178  0.646888  0.00713746 1.80305 
205.651  0.00801027  0.716969  0.00801664 1.72962 
231.013  0.0089968  0.783225  0.00900396 1.5777 
259.502  0.0101047  0.83192  0.0101127 1.36506 
291.505  0.0113487  0.844313  0.0113577 1.12617 
327.455  0.0127455  0.797112  0.0127557 0.894427 
367.838  0.0143139  0.680013  0.0143253 0.683577 
413.201  0.0160748  0.515951  0.0160876 0.141784 
464.159  0.0180516  0.350664  0.0180659 0.100312 
521.401  0.0202706  0.000733316  0.0202867 0.00331438 
585.702  0.0227613  0.00244909  0.0227794 0.0706196 
657.933  0.0255566  0.0164084  0.0255769 0.0435412 
739.072  0.0286933  0.0146241  0.0287161 0.028682 
830.218  0.0322126  0.00443096  0.0322382 0.107874 
932.603  0.0361603  0.32884  0.036189 0.126403 
1047.62  0.0405877  0.402637  0.0406202 0.114165 
1176.81  0.0455516  0.468183  0.0455879 0.178352 
1321.94  0.0511156  0.526002  0.0511563 0.330328 
1484.97  0.0573497  0.576515  0.0573956 0.328057 
1668.1  0.0643319  0.62031  0.0643832 0.1619 
1873.82  0.0721476  0.658161  0.0722049 0.360147 
2104.9  0.0808912  0.690925  0.0809555 0.661715 
2364.49  0.0906652  0.719452  0.0907381 0.73515 
2656.09  0.101582  0.744434  0.101663 0.764419 
2983.65  0.113762  0.766605  0.113851 0.790419 
3351.6  0.127334  0.786423  0.127434 0.813549 
3764.94  0.142433  0.804271  0.142546 0.834141 
4229.24  0.159201  0.820733  0.159329 0.852459 
4750.81  0.17778  0.835882  0.177921 0.868756 
5336.7  0.198311  0.849972  0.198469 0.883267 
5994.84  0.220926  0.862738  0.2211 0.896197 
6734.15  0.245739  0.874894  0.245934 0.907668 
7564.63  0.272839  0.88634  0.273054 0.917906 
8497.53  0.302278  0.897045  0.302516 0.927006 
9545.48  0.334045  0.907026  0.334303 0.93513 
10722.7  0.368073  0.916381  0.368362 0.942338 
12045  0.40419  0.925062  0.404506 0.948759 
13530.5  0.44215  0.933105  0.442491 0.954476 
15199.1  0.481609  0.940508  0.481996 0.959577 
17073.5  0.52208  0.947215  0.522489 0.964107 
19179.1  0.563046  0.953408  0.563448 0.968128 
21544.3  0.603852  0.958963  0.604309 0.971736 
24201.3  0.643914  0.963954  0.644441 0.974899 
27185.9  0.68258  0.96842  0.683139 0.977794 
30538.6  0.719314  0.972361  0.719882 0.980272 
34304.7  0.753669  0.975884  0.754253 0.982585 
38535.3  0.785289  0.978993  0.785939 0.984517 
43287.6  0.813966  0.981711  0.814616 0.986314 
48626  0.839719  0.984114  0.840389 0.987972 
54622.8  0.862535  0.986181  0.863158 0.989333 
61359.1  0.882489  0.988059  0.883199 0.990689 
68926.1  0.899845  0.989549  0.900639 0.991818 
77426.4  0.91487  0.991023  0.915672 0.992778 
86974.9  0.927641  0.99219  0.928482 0.993546 
97701  0.938764  0.993228  0.939445 0.994497 
109750  0.948151  0.99426  0.948893 0.995172 
123285  0.956162  0.99508  0.95682 0.99582 
138489  0.9629  0.995734  0.963572 0.996342 
155568  0.968608  0.996621  0.969314 0.996779 
174753  0.973698  0.997112  0.974268 0.997292 
196304  0.977899  0.997509  0.978515 0.997685 
220513  0.981249  0.998118  0.982104 0.997949 
247708  0.984455  0.998283  0.985179 0.998329 
278256  0.986903  0.99897  0.988014 0.998765 
312572  0.989184  0.999059  0.989759 0.998741 
351119  0.991182  0.999134  0.99181 0.999061 
394421  0.992618  0.999379  0.993603 0.999112 
443062  0.994145  0.999598  0.99478 0.999331 
497702  0.995278  0.999838  0.996035 0.999589 
559081  0.996391  1.00009  0.997198 0.999686 
628029  0.997289  0.999162  0.99789 0.999756 
705480  0.997991  1.00025  0.998222 0.999847 
792483  0.998585  0.999801  1.00011 1.00004 
890215  0.999262  1.00026  1.00029 1.00012 
1e+06  1  1  1 1 
