; radius uncorrected250 corrected250 uncorrected1250 corrected1250 
10  0.000391649  2.43952  0.000390555 10.4589 
11.2332  0.000438152  6.6458  0.000441393 9.65055 
12.6186  0.000492863  5.85381  0.000489571 14.3679 
14.1747  0.00055268  5.89777  0.000556942 13.1333 
15.9228  0.00062168  6.48837  0.000615042 12.5312 
17.8865  0.00069777  6.62782  0.000702814 14.1114 
20.0923  0.000782619  6.52853  0.000790699 14.5245 
22.5702  0.000881262  5.23519  0.000875796 14.5618 
25.3536  0.00098817  4.21832  0.000984181 14.7356 
28.4804  0.00111119  6.47777  0.00111568 14.6148 
31.9927  0.00124706  5.79213  0.0012531 14.3764 
35.9381  0.00140275  14.7281  0.00139581 13.9801 
40.3702  0.00157563  6.28609  0.00156964 13.0662 
45.3488  0.00176841  6.49282  0.00176885 12.0713 
50.9414  0.00198691  6.61157  0.00198732 10.9623 
57.2237  0.00223005  6.59669  0.00223306 9.80159 
64.2807  0.00250469  6.52318  0.00250728 8.67389 
72.2081  0.0028144  6.33462  0.00281651 7.62853 
81.1131  0.00316238  5.97267  0.00316406 6.68502 
91.1163  0.00355182  5.52339  0.00355415 5.84236 
102.353  0.00398968  4.98104  0.00399218 5.0919 
114.976  0.00448109  4.40532  0.0044842 4.42381 
129.155  0.00503336  3.84029  0.00503681 3.82908 
145.083  0.00565359  3.31544  0.00565745 3.29964 
162.975  0.00635017  2.84267  0.00635451 2.82833 
183.074  0.00713248  2.42103  0.00713735 2.40877 
205.651  0.00801106  2.04563  0.00801652 2.03527 
231.013  0.00899769  1.71145  0.00900385 1.70278 
259.502  0.0101057  1.41397  0.0101126 1.40683 
291.505  0.0113498  1.14916  0.0113575 1.14336 
327.455  0.0127468  0.91345  0.0127554 0.908842 
367.838  0.0143153  0.703653  0.0143251 0.70011 
413.201  0.0160764  0.516952  0.0160873 0.514352 
464.159  0.0180533  0.350882  0.0180657 0.34912 
521.401  0.0202726  0.203412  0.0202865 0.202407 
585.702  0.0227636  0.0741786  0.0227791 0.0738184 
657.933  0.0255591  0.052978  0.0255766 0.0527227 
739.072  0.0286961  0.153555  0.0287157 0.152802 
830.218  0.0322157  0.245833  0.0322377 0.244617 
932.603  0.0361638  0.328321  0.0361885 0.326691 
1047.62  0.0405916  0.401862  0.0406193 0.399897 
1176.81  0.045556  0.467367  0.0455874 0.465073 
1321.94  0.0511205  0.525702  0.0511555 0.523115 
1484.97  0.0573553  0.577645  0.0573943 0.574809 
1668.1  0.0643381  0.623891  0.0643824 0.620819 
1873.82  0.0721546  0.665066  0.0722042 0.661786 
2104.9  0.0808989  0.701733  0.0809542 0.698359 
2364.49  0.0906741  0.734366  0.0907361 0.730827 
2656.09  0.101592  0.763417  0.101661 0.759734 
2983.65  0.113773  0.789288  0.11385 0.785499 
3351.6  0.127346  0.812311  0.127433 0.8084 
3764.94  0.142447  0.832808  0.142545 0.828783 
4229.24  0.159216  0.851079  0.159325 0.847169 
4750.81  0.177797  0.867321  0.177918 0.86332 
5336.7  0.198331  0.881782  0.198459 0.877698 
5994.84  0.220946  0.894662  0.221106 0.890571 
6734.15  0.245763  0.906121  0.245934 0.90195 
7564.63  0.272867  0.916321  0.273051 0.912096 
8497.53  0.302304  0.925447  0.302531 0.921587 
9545.48  0.334076  0.933534  0.334306 0.929615 
10722.7  0.368104  0.94073  0.368355 0.936763 
12045  0.404229  0.947154  0.404513 0.943255 
13530.5  0.442208  0.952849  0.442525 0.948889 
15199.1  0.481657  0.957927  0.481984 0.953907 
17073.5  0.522147  0.962538  0.522525 0.95937 
19179.1  0.563084  0.966578  0.563464 0.963295 
21544.3  0.60392  0.970133  0.604333 0.966835 
24201.3  0.643969  0.973343  0.644368 0.970246 
27185.9  0.682645  0.976189  0.683111 0.972973 
30538.6  0.719412  0.978706  0.719876 0.975448 
34304.7  0.753717  0.981161  0.754389 0.979369 
38535.3  0.785392  0.98316  0.785932 0.98142 
43287.6  0.814071  0.984904  0.814624 0.983199 
48626  0.839845  0.98656  0.840442 0.985003 
54622.8  0.862543  0.987923  0.863195 0.986346 
61359.1  0.882571  0.98919  0.883012 0.98742 
68926.1  0.899942  0.990668  0.900634 0.99131 
77426.4  0.914898  0.991667  0.915669 0.992076 
86974.9  0.927744  0.992611  0.928455 0.992735 
97701  0.93882  0.993384  0.939108 0.993235 
109750  0.948207  0.994136  0.948639 0.993752 
123285  0.956224  0.994744  0.956821 0.994133 
138489  0.96294  0.995877  0.963586 0.99716 
155568  0.968722  0.996413  0.969537 0.997138 
174753  0.9738  0.996846  0.974635 0.997168 
196304  0.97803  0.997249  0.978785 0.997127 
220513  0.981388  0.99773  0.981976 0.99707 
247708  0.984541  0.997874  0.985085 0.997064 
278256  0.987192  0.998681  0.987727 0.999604 
312572  0.989366  0.998995  0.989412 0.99901 
351119  0.99135  0.999057  0.991738 0.998823 
394421  0.992573  0.999054  0.993553 0.99823 
443062  0.994103  0.999173  0.994796 0.998652 
497702  0.995267  0.999283  0.996159 0.998615 
559081  0.996549  0.999883  0.997312 0.999554 
628029  0.997503  0.999966  0.997603 1.00118 
705480  0.998143  0.99987  0.998436 0.999597 
792483  0.998592  0.999787  1.00015 0.997278 
890215  0.999151  0.999818  1.00031 0.997292 
1e+06  1  1  1 1 
